"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"346",2020-05-20,3.401,74113.08988116,4.36,1748.3,33.56,2020
"347",2020-05-21,3.411,74071.88197859,4.27,1724.9,34.3,2020
"348",2020-05-22,3.429,74149.0805913,4.3,1733.55,33.49,2020
"349",2020-05-23,3.429,74149.0805913,4.3,1733.55,33.49,2020
"350",2020-05-24,3.429,74149.0805913,4.3,1733.55,33.49,2020
"351",2020-05-25,3.426,74138.73316282,4.24,1733.55,33.49,2020
"352",2020-05-26,3.433,74130.49268898,4.24,1720.25,34.7,2020
"353",2020-05-27,3.449,74113.15760959,4.3,1694.6,32.8,2020
"354",2020-05-28,3.437,74289.47362577,4.27,1717.35,33.67,2020
"355",2020-05-29,3.427,73439.1328082,4.31,1728.7,35.57,2020
"356",2020-05-30,3.427,73439.1328082,4.31,1728.7,35.57,2020
"357",2020-05-31,3.427,73439.1328082,4.31,1728.7,35.57,2020
"358",2020-06-01,3.418,74009.73514088,4.36,1730.6,35.49,2020
"359",2020-06-02,3.395,74246.99153423,4.35,1742.15,36.88,2020
"360",2020-06-03,3.402,74531.54154746,4.33,1705.35,37.33,2020
"361",2020-06-04,3.432,74634.41183061,4.41,1700.05,37.42,2020
"362",2020-06-05,3.43,74517.90920948,4.4,1683.45,39.49,2020
"363",2020-06-06,3.43,74517.90920948,4.4,1683.45,39.49,2020
